2018/11/28 12:14:30 [error] 9#9: *16 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2018/12/12 09:51:16 [error] 9#9: *11 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:51:17 [error] 9#9: *1 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/images/logo.svg" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/images/logo.svg HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:51:17 [error] 9#9: *5 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-l.css" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-l.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:51:19 [error] 9#9: *7 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/css/print.css" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/css/print.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:51:19 [error] 9#9: *1 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:52:49 [error] 9#9: *2 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/calendar.css" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/calendar.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:52:49 [error] 9#9: *1 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-m.css" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-m.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:52:49 [error] 9#9: *5 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/requirejs/mixins.js" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/requirejs/mixins.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:52:49 [error] 9#9: *7 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs/require.js" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs/require.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:52:49 [error] 9#9: *11 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:52:49 [error] 9#9: *9 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs-config.js" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs-config.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:52:50 [error] 9#9: *1 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/images/logo.svg" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/images/logo.svg HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:52:50 [error] 9#9: *2 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-l.css" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-l.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:52:51 [error] 9#9: *7 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/requirejs/mixins.js" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/requirejs/mixins.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:52:52 [error] 9#9: *11 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/css/print.css" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/css/print.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:52:52 [error] 9#9: *9 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:55:15 [error] 8#8: *2 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/calendar.css" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/calendar.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:55:15 [error] 8#8: *4 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-m.css" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-m.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:55:15 [error] 8#8: *6 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs/require.js" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs/require.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:55:15 [error] 8#8: *8 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:55:15 [error] 8#8: *10 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/requirejs/mixins.js" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/requirejs/mixins.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:55:15 [error] 8#8: *13 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs-config.js" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs-config.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:55:17 [error] 8#8: *4 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/images/logo.svg" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/images/logo.svg HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:55:17 [error] 8#8: *6 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-l.css" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-l.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:55:18 [error] 8#8: *13 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:55:19 [error] 8#8: *6 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/css/print.css" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/css/print.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:58:57 [error] 8#8: *20 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/calendar.css" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/calendar.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:58:57 [error] 8#8: *26 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-m.css" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-m.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:58:58 [error] 8#8: *20 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs/require.js" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs/require.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:58:58 [error] 8#8: *26 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/requirejs/mixins.js" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/requirejs/mixins.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:58:59 [error] 8#8: *26 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs-config.js" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs-config.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:58:59 [error] 8#8: *20 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:59:01 [error] 8#8: *26 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/requirejs/mixins.js" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/requirejs/mixins.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:59:01 [error] 8#8: *20 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/images/logo.svg" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/images/logo.svg HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:59:02 [error] 8#8: *20 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-l.css" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-l.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:59:02 [error] 8#8: *26 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/css/print.css" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/css/print.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:59:04 [error] 8#8: *26 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs-config.js" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs-config.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:59:05 [error] 8#8: *39 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js" failed (2: No such file or directory), client: 172.24.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/polyfill.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/17 11:48:27 [error] 9#9: *38 open() "/var/www/flo/media/desktop/loading.gif" failed (2: No such file or directory), client: 172.19.0.1, server: local.flo.com.tr, request: "GET /media/desktop/loading.gif HTTP/1.1", host: "local.flo.com.tr", referrer: "http://local.flo.com.tr/"
2018/12/17 11:48:27 [error] 9#9: *37 open() "/var/www/flo/media/wysiwyg/desktop/home/odemeLogolari.png" failed (2: No such file or directory), client: 172.19.0.1, server: local.flo.com.tr, request: "GET /media/wysiwyg/desktop/home/odemeLogolari.png HTTP/1.1", host: "local.flo.com.tr", referrer: "http://local.flo.com.tr/"
2018/12/17 11:48:27 [error] 9#9: *40 open() "/var/www/flo/media/wysiwyg/desktop/home/bankaLogolari.png" failed (2: No such file or directory), client: 172.19.0.1, server: local.flo.com.tr, request: "GET /media/wysiwyg/desktop/home/bankaLogolari.png HTTP/1.1", host: "local.flo.com.tr", referrer: "http://local.flo.com.tr/"
2018/12/17 11:48:27 [error] 9#9: *40 open() "/var/www/flo/media/desktop/loading.gif" failed (2: No such file or directory), client: 172.19.0.1, server: local.flo.com.tr, request: "GET /media/desktop/loading.gif HTTP/1.1", host: "local.flo.com.tr", referrer: "http://local.flo.com.tr/"
2018/12/17 12:20:46 [error] 9#9: *56 open() "/var/www/flo/media/desktop/loading.gif" failed (2: No such file or directory), client: 172.19.0.1, server: local.flo.com.tr, request: "GET /media/desktop/loading.gif HTTP/1.1", host: "local.flo.com.tr", referrer: "http://local.flo.com.tr/"
